Designator,Mid X,Mid Y,Rotation,Layer
C1_2,47.64,-5.08,180.0,top
C1,47.64,-52.8,180.0,top
C2_2,61.61,-54.07,270.0,top
C2,61.61,-6.35,270.0,top
C3_2,47.3475,-50.26,0.0,top
C3,47.3475,-2.54,0.0,top
C4_2,32.34,-54.07,180.0,top
C4,32.34,-6.35,180.0,top
C5_2,13.2175,-55.4725,270.0,top
C5,13.2175,-7.7525,270.0,top
C6_2,17.0,-51.84,270.0,top
C6,17.0,-4.12,270.0,top
J1_2,50.19,-88.34,90.0,top
J1,50.19,-40.62,90.0,top
J10_2,41.29,-89.63,0.0,top
J10,41.29,-41.91,0.0,top
J3_2,29.86,-31.75,0.0,top
J3,29.86,-79.47,0.0,top
J4_2,29.3391,-84.64,90.0,bottom
J4,29.3391,-36.92,90.0,bottom
J5_2,29.86,-13.97,0.0,top
J5,29.86,-61.69,0.0,top
J6_2,65.42,-54.085,0.0,top
J6,65.42,-6.365,0.0,top
J7_2,62.91,-27.73,90.0,top
J7,62.91,-75.45,90.0,top
J9_2,13.35,-90.9,90.0,top
J9,13.35,-43.18,90.0,top
R1_2,54.6,-68.44,0.0,top
R1,54.6,-20.72,0.0,top
R2_2,54.4,-73.44,180.0,top
R2,54.4,-25.72,180.0,top
R3_2,55.4,-15.72,180.0,top
R3,55.4,-63.44,180.0,top
R4_2,57.8,-83.28,270.0,top
R4,57.8,-35.56,270.0,top
R6_2,20.97,-50.26,0.0,top
R6,20.97,-2.54,0.0,top
R7_2,34.66,-38.1,0.0,top
R7,34.66,-85.82,0.0,top
RV1_2,39.965,-50.3,0.0,top
RV1,39.965,-2.58,0.0,top
U2_2,55.26,-54.07,0.0,top
U2,55.26,-6.35,0.0,top
U4_2,13.1375,-51.64,180.0,top
U4,13.1375,-3.92,180.0,top
U5_2,61.61,-27.94,0.0,bottom
U5,61.61,-75.66,0.0,bottom
